"id_all","id_inpaper","id_original","year","month","date","ymonth","Headline","paper","wcount","codePN","Asahi","Yomiuri","jijistartdate","jijiymonth","cabinet","ldp","politics"
1,1,3,1987,11,7,198711,"竹下首相任命式も皇太子殿下が出席","A",85,0,1,NA,7,198711,1,0,0
3,3,5,1987,11,7,198711,"政策遂行は党主導か　竹下内閣発足＜解説＞","A",1033,0,1,NA,7,198711,1,0,1
5,5,7,1987,11,7,198711,"竹下内閣・閣僚の顔ぶれ（昭和６２年１１月６日発足）　　　　　　　　　　","A",1844,0,1,NA,7,198711,1,0,0
7,7,9,1987,11,7,198711,"竹下内閣が発足　融和重視の派閥均衡型　税制の改革に力点","A",1288,0,1,NA,7,198711,1,0,0
8,1,1,1987,11,7,198711,"竹下内閣スタート　派閥均衡の実務型　税制・土地を重視＝図付き ","Y",1258,0,NA,1,7,198711,1,0,0
9,2,2,1987,11,7,198711,"衆参両院で竹下首相を指名 ","Y",212,0,NA,1,7,198711,1,0,0
10,3,3,1987,11,7,198711,"大胆な発想と実行の政治を　初閣議で竹下首相説示 ","Y",403,0,NA,1,7,198711,1,0,1
11,4,4,1987,11,7,198711,"国事行為臨時代行の皇太子殿下が新首相親任式 ","Y",252,0,NA,1,7,198711,1,0,0
12,5,5,1987,11,7,198711,"税制改革、２段階で　蔵相、竹下内閣初閣議後の会見で表明　新型間接税を分離 ","Y",627,0,NA,1,7,198711,1,0,0
13,6,7,1987,11,7,198711,"竹下内閣の顔ぶれ（６２年１１月６日任命・認証式） ","Y",1600,0,NA,1,7,198711,1,0,0
14,8,12,1987,11,8,198711,"竹下首相が発会見　土地需給調整に意欲","A",1587,0,1,NA,7,198711,1,0,0
15,9,13,1987,11,8,198711,"宰相の宿題（竹下政権・試練の船出：１）","A",2177,0,1,NA,7,198711,1,0,0
17,7,8,1987,11,8,198711,"「合意と決断の政治」　竹下首相、初会見で強調　内需拡大へ大型予算 ","Y",1470,0,NA,1,7,198711,1,0,1
18,8,9,1987,11,8,198711,"非課税品目減らす　新型間接税導入で宮沢蔵相が表明 ","Y",855,0,NA,1,7,198711,1,0,0
26,15,21,1987,11,10,198711,"見えない「顔」（竹下政権・試練の船出：２）","A",2149,0,1,NA,7,198711,1,0,0
36,17,23,1987,11,11,198711,"米国務次官補、竹下首相に内需拡大を改めて要請","A",644,0,1,NA,7,198711,1,0,0
41,22,30,1987,11,11,198711,"浮沈のカギ（竹下政権・試練の船出：３）","A",1835,0,1,NA,7,198711,1,0,0
45,21,25,1987,11,11,198711,"「光華寮など懸案解決を」　孫平化氏が竹下首相に要請 ","Y",368,0,NA,1,7,198711,1,0,0
59,30,40,1987,11,12,198711,"竹下内閣、４８％が支持　内政に期待感　朝日新聞社世論調査","A",1629,1,1,NA,7,198711,1,0,0
66,36,41,1987,11,12,198711,"Ｇ５、２０日過ぎにも　竹下首相が見通し ","Y",399,0,NA,1,7,198711,1,0,0
72,34,46,1987,11,13,198711,"竹下首相、新型間接税に意欲　「均衡とれた体系を」","A",741,0,1,NA,7,198711,1,0,0
74,36,48,1987,11,13,198711,"安定の裏側　もろい浮動層支持（竹下政権・試練の船出：４）","A",2165,0,1,NA,7,198711,1,0,0
77,39,45,1987,11,13,198711,"新型間接税を柱に税制全面見直しを諮問／政府税調総会 ","Y",1425,0,NA,1,7,198711,1,0,0
87,41,55,1987,11,14,198711,"野党の予感（竹下政権・試練の船出：５）","A",2134,0,1,NA,7,198711,1,0,1
113,62,71,1987,11,16,198711,"「牛肉監察」６３年度に繰り上げ／総務庁長官指示 ","Y",276,0,NA,1,7,198711,1,0,0
119,53,73,1987,11,17,198711,"光華寮問題、竹下内閣で解決を　トウ小平氏、土井委員長に強調","A",1005,0,1,NA,7,198711,1,0,0
126,70,80,1987,11,17,198711,"三原山噴火で政府も連絡会議を開く ","Y",144,0,NA,1,7,198711,1,0,0
127,71,81,1987,11,17,198711,"「光華寮」解決は竹下内閣で　トウ小平氏が強く要請　訪中の土井委員長と会談 ","Y",879,0,NA,1,7,198711,1,0,0
128,72,82,1987,11,17,198711,"臨時国会、２７日召集を確認／政府・自民党 ","Y",137,0,NA,1,7,198711,1,1,1
131,58,80,1987,11,18,198711,"臨時国会、２７日に召集　会期は１６日間　政府与党協議で確認","A",834,0,1,NA,7,198711,1,0,1
134,61,83,1987,11,18,198711,"公共事業、米の参入当面認めぬ　竹下首相、協議継続提案へ","A",1126,0,1,NA,7,198711,1,0,0
143,65,89,1987,11,19,198711,"政府・自民税制で方向　８８年秋までに抜本改革","A",1062,0,1,NA,7,198711,1,1,0
145,79,91,1987,11,19,198711,"竹下内閣の支持率は５１．５％　自民も高い伸び／読売新聞社全国世論調査 ","Y",1714,1,NA,1,7,198711,1,1,0
150,67,93,1987,11,20,198711,"土地取引への強権発動に政府は慎重　衆院土地特別委","A",803,0,1,NA,7,198711,1,0,1
153,70,96,1987,11,20,198711,"新型間接税含む法の成立、来秋メドで一致　首相・蔵相会談","A",856,0,1,NA,7,198711,1,0,1
157,85,98,1987,11,20,198711,"地価下げは土地の供給策で　取引凍結には慎重／奥野長官答弁 ","Y",1128,0,NA,1,7,198711,1,0,0
160,88,102,1987,11,20,198711,"竹下首相の訪米は１月１３日から ","Y",577,0,NA,1,7,198711,1,0,0
162,90,104,1987,11,20,198711,"「税制改革法案、６３年秋に成立を」竹下首相と宮沢蔵相が一致 ","Y",590,0,NA,1,7,198711,1,0,0
164,74,102,1987,11,21,198711,"高層化で住宅供給　参院土地特別委で国土庁長官が強調","A",663,0,1,NA,7,198711,1,0,1
170,92,106,1987,11,21,198711,"豊かさ持つ国造りへ　竹下首相、新経済計画を諮問 ","Y",470,0,NA,1,7,198711,1,0,0
172,94,108,1987,11,21,198711,"米、８８・８９年度で７５０億ドルの財政赤字削減　政府、議会が暫定合意 ","Y",524,0,NA,1,7,198711,1,0,0
174,96,110,1987,11,21,198711,"１省庁１機関の地方移転、本格取り組みを表明　参院委で奥野長官 ","Y",552,0,NA,1,7,198711,1,0,1
178,82,114,1987,11,22,198711,"在日米軍の駐留費負担増額で日米地位協定改定へ　政府方針","A",1948,0,1,NA,7,198711,1,0,0
182,99,114,1987,11,22,198711,"農産物譲歩案、米が受けねばガット勧告拒否も／政府方針 ","Y",919,0,NA,1,7,198711,1,0,0
192,87,123,1987,11,24,198711,"米ソ外相、ＩＮＦ全廃条約めざし詰めの協議","A",890,0,1,NA,7,198711,1,0,0
195,106,124,1987,11,24,198711,"米ソ外相会談始まる　ＩＮＦ最後の詰め　ソ連参謀総長も出席　戦略核も前進か ","Y",926,0,NA,1,7,198711,1,0,0
202,90,128,1987,11,25,198711,"李鵬氏、首相代行に　中国","A",672,0,1,NA,7,198711,1,0,0
204,92,130,1987,11,25,198711,"ＩＮＦ全廃で完全合意　「首脳会談必ず成功」　米ソ外相が表明","A",1148,0,1,NA,7,198711,1,0,0
206,113,132,1987,11,25,198711,"米ソ外相会談、ＩＮＦ全廃で完全合意　首脳会談で調印へ ","Y",600,0,NA,1,7,198711,1,0,0
210,117,136,1987,11,25,198711,"新型間接税で新統一見解へ／政府・自民党方針 ","Y",636,0,NA,1,7,198711,1,1,1
211,94,134,1987,11,26,198711,"中曽根公約は「総理答弁」　竹下首相、「統一見解」を否定","A",294,0,1,NA,7,198711,1,0,0
212,95,135,1987,11,26,198711,"新型間接税は「前内閣見解を白紙に戻す」　首相答弁で表明へ","A",700,0,1,NA,7,198711,1,0,0
216,99,139,1987,11,26,198711,"農産物１２品目ガット裁定、大筋受け入れへ　官房長官ら表明","A",928,0,1,NA,7,198711,1,0,0
222,121,141,1987,11,26,198711,"「税制改革望む」５１％　竹下内閣への期待を探る／読売新聞社全国世論調査 ","Y",424,1,NA,1,7,198711,1,0,0
224,123,144,1987,11,26,198711,"新型間接税の政府見解白紙化　政府税制調査会などで検討 ","Y",155,0,NA,1,7,198711,1,0,0
226,103,145,1987,11,27,198711,"米ソ首脳会談の前にソ連書記長が訪英　サッチャー英首相明かす","A",493,0,1,NA,7,198711,1,0,0
235,128,149,1987,11,27,198711,"米軍駐留費の負担増は「中期防の枠外」で合意済み　竹下内閣も方針踏襲 ","Y",1189,NA,NA,1,7,198711,1,0,0
237,108,152,1987,11,28,198711,"「内閣改造は７月ごろ」　税制改革をにらむ　金丸氏見通し","A",520,0,1,NA,7,198711,1,0,0
268,120,171,1987,12,1,198712,"竹下首相、間接税導入に意欲　予見ぬき論議を　衆院代表質問","A",698,0,1,NA,10,198711,1,0,1
277,150,175,1987,12,1,198712,"中曽根見解は事実上、白紙撤回　大型間接税で竹下首相答弁 ","Y",621,0,NA,1,10,198711,1,0,0
