"id_all","Headline","codeN","cabinetmatch","ldpmatch","politicsmatch"
11175,"海部首相きょう１０日の日程＝現地時間 ",NA,2251,NA,NA
24972,"受注業者、前知事の“天の声”で６年前に決定　茨城の小山ダム",NA,NA,NA,4823
77439,"［核の脅威］拡散防げるか（４）対米外交、首相に試練（連載） ",NA,13517,NA,NA
20073,"ＰＫＯ・政治改革・コメ…　参院選争点、各党は　本社アンケート",NA,NA,NA,3568
77339,"薬害肝炎　厚労相「謝罪、補償する」　月内和解を目指す ",NA,13508,NA,NA
8637,"参院で１１日に採決本決まり　消費税廃止法案",NA,NA,NA,1562
91788,"安倍首相、アサド氏の退陣要求　シリア情勢",NA,16531,NA,NA
78431,"［ネット社会］深まる闇（８）「有害」放置、政治の無知（連載） ",NA,NA,NA,13467
59748,"小泉首相、減税拡大の検討を指示　「２．５兆円超」に理解／経財諮問会議 ",NA,11101,NA,NA
19799,"ＰＫＯ法案、今夕に衆院特別委採決　自公民方針に社共は抵抗",NA,NA,NA,3504
68283,"郵貯・簡保、当面は全国一律　郵政民営化で政府、自民に譲歩案提示",NA,12313,3559,NA
52949,"内閣・自民党人事　加藤、山崎派を排除　本会議欠席組に“けじめ”／森首相方針 ",NA,9973,3012,10048
7784,"ソ連、指導部大幅刷新へ　ゴ書記長、中央委総会で報告　９０年１０月に党大会 ",NA,NA,NA,1349
73820,"生活用品事故、原因不明でも報告　修理業者らに通知促す　経産省の法改正原案 ",NA,NA,NA,12744
7882,"自民総裁、海部俊樹氏の再選確実に　対立候補の動きなし",NA,NA,546,NA
78880,"福田首相への問責判断、来月１２日以降　小沢代表",NA,13711,NA,NA
95631,"田中法相辞任　首相、任命責任認める　滝氏再登板の方向",NA,16161,NA,NA
69426,"郵政法案の衆院通過　会期内は見送り　来月の都議選後の採決視野／政府・与党 ",NA,12470,NA,12179
62056,"衆参４選挙区統一補選　自民が実質３勝１敗　衆院東京６区は民主・小宮山氏 ",NA,NA,3325,11270
41881,"自治体の３５％が来年度予算縮小　財政構造改革は進まず／読売新聞社調査 ",NA,NA,NA,8143
