"id_all","id_inpaper","id_original","year","month","date","ymonth","Headline","paper","wcount","Asahi","Yomiuri","jijistartdate","jijiymonth","cabinet","ldp","politics","codeN","train"
101,54,62,1987,11,15,198711,"衆院選の「１票の格差」拡大　抜本是正を検討／安倍幹事長 ","Y",128,NA,1,7,198711,0,1,1,NA,0
107,60,68,1987,11,15,198711,"森下　泰氏（自民党参院議員、森下仁丹社長）死去 ","Y",566,NA,1,7,198711,0,1,1,NA,0
128,72,82,1987,11,17,198711,"臨時国会、２７日召集を確認／政府・自民党 ","Y",137,NA,1,7,198711,1,1,1,0,1
143,65,89,1987,11,19,198711,"政府・自民税制で方向　８８年秋までに抜本改革","A",1062,1,NA,7,198711,1,1,0,NA,0
145,79,91,1987,11,19,198711,"竹下内閣の支持率は５１．５％　自民も高い伸び／読売新聞社全国世論調査 ","Y",1714,NA,1,7,198711,1,1,0,NA,0
210,117,136,1987,11,25,198711,"新型間接税で新統一見解へ／政府・自民党方針 ","Y",636,NA,1,7,198711,1,1,1,NA,0
225,102,144,1987,11,27,198711,"酒税・相続税の改正も６３年秋　自民政策首脳が語る","A",410,1,NA,7,198711,0,1,0,NA,0
227,104,146,1987,11,27,198711,"税制審議、１月末にも開始　「抜本改革」で自民税調","A",876,1,NA,7,198711,0,1,0,NA,0
325,175,203,1987,12,4,198712,"農産物の対日勧告案は継続審議に　政府・自民党、ガット総会への対応策指示 ","Y",924,NA,1,10,198711,1,1,1,NA,0
344,162,224,1987,12,6,198712,"後藤田・自民選挙制度調査会長、献金枠倍増に消極的","A",585,1,NA,10,198711,0,1,1,NA,0
446,236,274,1987,12,13,198712,"米軍駐留経費の新規負担は「中期防」の枠内で処理／政府・自民方針 ","Y",600,NA,1,10,198712,1,1,0,NA,0
459,244,283,1987,12,14,198712,"自民党、“遷都調査会”設置へ ","Y",295,NA,1,10,198712,0,1,1,0,1
514,269,313,1987,12,18,198712,"土地・住宅対策に重点　譲渡課税を軽減　自民６３年度税制改正の全容確定 ","Y",1729,NA,1,10,198712,0,1,0,NA,0
515,270,314,1987,12,18,198712,"抜本税制改革、２２日から審議／自民党 ","Y",372,NA,1,10,198712,0,1,1,NA,0
525,275,320,1987,12,19,198712,"減税３３００億円の小幅　政府・自民税調、６３年度税制改正案を決定 ","Y",1369,NA,1,10,198712,1,1,0,NA,0
548,260,355,1987,12,21,198712,"安倍幹事長ソウル入り　盧氏と会談へ","A",357,1,NA,10,198712,0,1,0,NA,0
552,290,337,1987,12,21,198712,"きょう２１日に盧泰愚氏と会談　安倍幹事長、ソウル入り ","Y",345,NA,1,10,198712,0,1,0,NA,0
582,277,377,1987,12,24,198712,"予算案の閣議決定２８日を確認　政府・自民党","A",80,1,NA,10,198712,1,1,1,NA,0
593,284,387,1987,12,25,198712,"自民各部会、大蔵原案に対する予算復活の重点要求をとりまとめ","A",321,1,NA,10,198712,0,1,0,NA,0
624,325,383,1987,12,27,198712,"整備新幹線、「一歩前進」を目指す　自民、決定時期は先送りか ","Y",550,NA,1,10,198712,0,1,0,NA,0
630,302,412,1987,12,28,198712,"自民、議席守る　参院大阪補選に坪井一宇氏初当選","A",639,1,NA,10,198712,0,1,1,NA,0
637,332,391,1987,12,28,198712,"参院大阪補選、自民の新人・坪井一宇氏が当選　投票率２０・７０％ ","Y",281,NA,1,10,198712,0,1,1,NA,0
641,336,396,1987,12,28,198712,"盛岡－青森間または高崎－軽井沢間　整備新幹線順位で自民筋 ","Y",200,NA,1,10,198712,0,1,0,NA,0
675,354,416,1987,12,31,198712,"新型間接税は１％程度　手続き大幅簡素化　税制抜本改革の政府・自民方針 ","Y",1931,NA,1,10,198712,1,1,0,NA,0
816,392,536,1988,1,15,198801,"五輪テロ防止に日韓協力委を　盧泰愚氏、渡辺政調会長に要請","A",266,1,NA,9,198801,0,1,0,NA,0
817,393,537,1988,1,15,198801,"「真由美は日本人でない」　全斗煥大統領、渡辺政調会長に語る","A",142,1,NA,9,198801,0,1,0,NA,0
847,408,558,1988,1,17,198801,"不公正感を解消へ　税と地価が２大目標　６３年自民運動方針案","A",1073,1,NA,9,198801,0,1,0,NA,0
857,445,527,1988,1,17,198801,"自民党が６３年運動方針案　新型間接税導入を鮮明に　土地問題も挙党体制で ","Y",741,NA,1,9,198801,0,1,1,NA,0
911,438,600,1988,1,22,198801,"反自民で結集を　「８８決戦」で伯仲めざす　社党運動方針案","A",1124,1,NA,9,198801,0,1,0,NA,0
961,496,589,1988,1,26,198801,"有価証券譲渡益　原則課税には否定的／自民党の渡辺政調会長 ","Y",559,NA,1,9,198801,0,1,1,NA,0
1070,549,654,1988,2,5,198802,"自民党の相沢代議士が２億円の所得申告漏れ　他人名義で株売買 ","Y",1361,NA,1,6,198801,0,1,1,NA,0
1083,556,662,1988,2,6,198802,"自民党の相沢英之氏が法務委員長辞任　株売買所得申告漏れで引責 ","Y",806,NA,1,6,198802,0,1,1,NA,0
1101,535,733,1988,2,8,198802,"自民、浜田問題の収拾案を検討　８日から与野党攻防本格化","A",808,1,NA,6,198802,0,1,0,NA,0
1106,568,676,1988,2,8,198802,"共産党への浜田発言、社公民も厳しく追及へ　自民、陳謝で収拾図る構え ","Y",1117,NA,1,6,198802,0,1,0,NA,0
1120,544,747,1988,2,10,198802,"安倍幹事長、浜田氏の責任問題で本格的な収拾へ　きょう再会談","A",913,1,NA,6,198802,0,1,0,0,1
1125,578,689,1988,2,10,198802,"「浜田進退」きょう１０日決着めざす／自民方針 ","Y",986,NA,1,6,198802,0,1,0,NA,0
1127,580,691,1988,2,10,198802,"浜田委員長発言問題　奥田・自民筆頭理事は辞意撤回　野党側も慰留 ","Y",290,NA,1,6,198802,0,1,1,NA,0
1133,551,758,1988,2,11,198802,"浜田委員長、安倍幹事長の妥協案を拒む　収拾、あす以降に","A",1190,1,NA,6,198802,0,1,0,NA,0
1147,560,769,1988,2,13,198802,"浜田衆院予算委員長が辞任　幹事長の説得のむ　６日ぶり収拾","A",1117,1,NA,6,198802,0,1,1,NA,0
1148,588,701,1988,2,13,198802,"浜田氏、委員長を辞任　「審議遅滞に責任」　幹事長の説得のむ　予算委正常化へ ","Y",2459,NA,1,6,198802,0,1,0,NA,0
1149,589,702,1988,2,13,198802,"浜田氏辞任やむをえずと判断／安倍幹事長 ","Y",294,NA,1,6,198802,0,1,0,NA,0
1197,581,802,1988,2,18,198802,"５４年の国会決議、新型間接税の論議制約せぬ　自民税調会長","A",299,1,NA,6,198802,0,1,1,NA,0
1223,594,819,1988,2,20,198802,"秘密法案の今国会提出見送りに　自民４役、「税制を優先」","A",678,1,NA,6,198802,0,1,1,NA,0
1244,640,762,1988,2,21,198802,"三池　信氏（自民党参院議員、元郵政相）死去 ","Y",260,NA,1,6,198802,0,1,1,NA,0
1296,628,866,1988,2,26,198802,"税制改革案、税制協再開条件に今国会は見送り　政府・自民方針","A",1126,1,NA,6,198802,1,1,1,NA,0
1325,639,883,1988,2,29,198802,"前橋市長選、自公推薦の藤嶋氏が当選","A",340,1,NA,6,198802,0,1,1,NA,0
1348,649,895,1988,3,2,198803,"減税と恒久財源の確保、同時処理の方針　自民、野党に回答へ","A",924,1,NA,10,198802,0,1,1,NA,0
1353,701,835,1988,3,2,198803,"減税、６３年度先行も　恒久財源の確保を条件に　自民、きょう２日に回答 ","Y",810,NA,1,10,198802,0,1,0,NA,0
1362,659,910,1988,3,3,198803,"「恒久財源求め減税実施」　自民、野党の予算案修正要求を拒否","A",1235,1,NA,10,198802,0,1,1,NA,0
