"id_all","Headline","codeN","missword","sampleloc"
56555,"新ラウンド宣言を採択　ＷＴＯ閣僚会合 ",NA,NA,10594
65982,"イラク自衛隊の「多国籍軍」参加を検討　人道支援が前提／政府 ",NA,NA,12018
39262,"特措法で橋本首相と小沢新進党首が意見交換　きょうにも再会談 ",NA,NA,7948
20722,"政治改革、１１月メドに基本方針　宮沢首相と綿貫幹事長ら一致 ",NA,NA,4439
2459,"５段階税率、６３年度から　抜本改革分を前倒し　政府・自民　",NA,NA,473
31015,"阪神大震災復興委の特別顧問に平岩外四氏も　７委員決定、１６日初会合／政府 ",NA,NA,6680
86187,"衝突ビデオ公開検討　民・自から政府批判相次ぐ ",NA,NA,15084
43830,"受け皿銀行に公的資金３０兆円活用　貸し倒れ損失時　政府・自民方針",NA,NA,8634
73845,"北朝鮮の核実験　政府が追加制裁決定　入港・輸入を全面禁止　入国禁止者拡大 ",NA,NA,13001
58014,"ＢＳＥ問題、武部農相辞任論強まる　「けじめを」公明代表らが要求 ",NA,NA,10821
39714,"反政府軍が首都制圧　カビラＡＤＦＬ議長、元首就任を宣言　ザイール",NA,NA,8020
71512,"過激派ハマス、勝利宣言　パレスチナ選挙、過半数の見通し　内閣総辞職へ",NA,NA,12711
13178,"２８日ごろ会談、改造日程詰め　海部首相と小沢幹事長",NA,NA,2718
20345,"竹下元首相への右翼宣伝、稲川会の石井前会長が封じる　東京佐川資金　　　",NA,NA,4368
37727,"第２次橋本内閣の顔ぶれ　１９９６年１１月７日発足",NA,NA,7695
92877,"河野談話、日韓で文言調整　政権検証報告「事実歪めない範囲」",NA,NA,16846
63714,"クレイ首相、辞意　内相人事でアラファト議長と対立／パレスチナ自治政府 ",NA,NA,11696
8840,"戦車がルーマニア反政府デモの群衆に突入　警官隊も発砲／ブカレスト ",NA,NA,1723
58829,"経済運営最終案を決定　小泉首相、サミットで報告へ／諮問会議 ",NA,NA,10975
43973,"自民新総裁２１日選出、両院総会で投票も　臨時国会３０日に首相指名",NA,NA,8659
24210,"［救えるか日本政治］７月総選挙の選択（２）首相の誤断と無為（連載） ",NA,NA,5082
35093,"沖縄米軍基地縮小の協力要請へ　橋本首相が訪米",NA,NA,7323
35788,"池田外相「アフリカ開発を支援」　ＵＮＣＴＡＤ総会で演説／南アフリカ ",NA,NA,7417
24187,"温暖化防止で国際研究を提唱　秋に主要国会議計画　政府",NA,NA,5076
83145,"八ツ場ダムを前原国交相が視察　住民は意見交換会欠席",NA,NA,14398
91781,"集団的自衛権、決めるのは内閣　小松・法制局長官インタビュー",NA,NA,16529
92497,"最高裁・寺田新長官、きょう閣議決定",NA,NA,16727
78571,"台湾総統に馬英九氏　国民党政権、８年ぶり　対中国、経済を強化",NA,NA,13667
12940,"新土地保有税　海部首相が導入了承　５日、大綱決定へ ",NA,NA,2652
51798,"「新生特別枠」７０００億円　来年度予算で政府方針",NA,NA,9814
64054,"イラク南部に自衛隊調査団を派遣　あすにも出発／福田官房長官 ",NA,NA,11754
9107,"１０億ドル援助を表明　海部首相、ポーランド首相と会談",NA,NA,1798
32042,"米制裁リスト発表　政府がＷＴＯへ提訴 ",NA,NA,6808
31500,"円高に機動的金融策　公定歩合下げ視野に武村蔵相が３方針発表 ",NA,NA,6737
57596,"地位協定の運用改善　早期決着で一致／日米外相会談 ",NA,NA,10769
35026,"薬害エイズで菅厚相が謝罪　恒久対策を約束　和解交渉進展へ ",NA,NA,7316
55286,"ジェノバ・サミット、きょう開幕　議定書と世界不況軸　外相会議は総括文書採択 ",NA,NA,10393
96430,"円安の動向　政府注視　一時１０２円台　４０日で６円安",NA,NA,16417
30491,"科技庁、官房長を更迭　長官の補佐不適切　特殊法人整理で消極的進言",NA,NA,6566
6387,"竹下首相、議員辞職も考慮　中曽根氏も同調　自民党再生へけじめ　党幹部明かす ",NA,NA,1204
77823,"福田首相「過去の直視を」　中国・北京大で講演",NA,NA,13580
29450,"ルワンダ難民救済　援助関係者を自衛隊で保護も／防衛庁長官 ",NA,NA,6406
90688,"ＴＰＰ推進「公認基準」　野田首相、離党者増えても",NA,NA,16194
21228,"金丸氏の判断見守る姿勢、「これで良いんだ」　宮沢首相語る",NA,NA,4531
14238,"政府軍がバスラ制圧　シーア派聖地、なお混乱　イラク",NA,NA,2996
36255,"リヨン・サミットで北朝鮮問題の協力訴え　政府が対処方針 ",NA,NA,7486
10978,"日米あす２５日から構造協議　海部首相、公共投資４１５兆円を対米提示 ",NA,NA,2210
25297,"ロシア政府側、最高会議ビル封鎖　明け渡し迫る通告準備",NA,NA,5359
30809,"阪神大震災の集中審議　情報網整備を強調　村山首相が答弁／衆院予算委 ",NA,NA,6633
24532,"従軍慰安婦問題で強制連行認める　日韓外相会談で伝達へ／政府方針 ",NA,NA,5158
91251,"成長「期待できる」５５％　内閣支持６０％維持　朝日新聞社世論調査",NA,NA,16383
13968,"イラク外相とソ連大統領、和平探りきょう会談　ソ連側、撤退説得へ",NA,NA,2934
16549,"キューバ撤兵へ　ベーカー米国務長官にゴルバチョフ・ソ連大統領表明",NA,NA,3527
3922,"リクルート株譲渡問題　「宮沢蔵相はうかつだった」　竹下首相、倫理責任に言及 ",NA,NA,716
33321,"「次の首相は橋本氏」がトップ　２位以下に大差　朝日新聞世論調査",NA,NA,6989
51609,"ＩＴ推進、協調で合意　首脳会議へ報告書採択　サミット蔵相会合",NA,NA,9788
17135,"中東和平会議に先立ちブッシュ米大統領とシャミル・イスラエル首相が会談 ",NA,NA,3644
54600,"在豪大使館の公金流用疑惑　元館員の処分見送り　田中外相には未報告 ",NA,NA,10253
4517,"「社公中軸」とらず　公明党矢野委員長会見　政権協議も困難視",NA,NA,798
51250,"米韓首脳と森首相が会談へ　小渕前首相の合同葬の８日に ",NA,NA,9724
62303,"小泉首相、ブッシュ大統領との首脳会談のためきょう訪米",NA,NA,11488
63532,"小泉再改造内閣が発足　首相、改革推進を強調　臨時国会での解散表明も ",NA,NA,11653
92188,"来年度予算、中間貯蔵地買収へ１０００億円　福島３町に、政府方針",NA,NA,16633
72130,"米軍普天間移設　防衛長官「一定の前進」　沖縄・名護市長と近く再協議 ",NA,NA,12770
88322,"菅首相退陣、８月以降に　自公、２次補正審議へ　会期７０日延長を議決",NA,NA,15479
19301,"コール独首相の１０月来日決定 ",NA,NA,4166
26679,"消費税上げは今、念頭にない　政治改革法成立で細川首相が記者会見",NA,NA,5660
72937,"ドミニカ移民に見舞金　１人数百万円、月末までに「和解案」　政府検討 ",NA,NA,12862
30432,"社党大会１月開催、村山首相が前向き姿勢　「下旬」の見通し強まる",NA,NA,6551
