"id_all","Headline","codeN","missword","sampleloc"
51340,"衆院選序盤情勢　自民優位、都市部は民主競う　投票率がかぎ握る／読売新聞調べ ",NA,NA,2940
62713,"青森知事に三村申吾氏　自公保推薦、接戦制す ",NA,NA,3335
38820,"社さ太陽と新会派めざす　民主党・鳩山、菅両代表が方針　自民との連立視野に ",NA,NA,2205
19629,"衆院定数是正の「９増１０減」案　自民、１日提示も断念　「減員区」の説得難航 ",NA,NA,1232
2291,"一般消費税型に簡易課税併用を確認　新型間接税で自民税調 ",NA,NA,131
27477,"細川首相元秘書の証人喚問　与党、条件つきで検討　自民に打診　予算協力求める ",NA,NA,1853
82214,"自公党首が会談　国会５５日延長決定　首相、衆院選８月２日模索 ",NA,NA,4182
43050,"追加減税は定額方式で　所得税は８月から、住民税６月　自民税調が了承 ",NA,NA,2394
69584,"都議選　自民・民主両党が競う／読売新聞社世論調査 ",NA,NA,3603
52844,"山崎拓氏も内閣不信任案賛成　自民主流派「可決なら解散」",NA,NA,2999
39607,"自民財政改革素案　教育予算を大幅圧縮　教員定数見直し ",NA,NA,2222
66414,"参院選　自民不振、安倍幹事長が９月辞任意向 ",NA,NA,3522
12356,"自衛隊の海外派遣可能に　「国際連合平和協力法案」の要旨を了承／自民党 ",NA,NA,753
19067,"連合政権は自民の政策を継承　田辺・社党委員長が影の内閣で基本姿勢 ",NA,NA,1210
37263,"４分野・１１省庁に再編　統合し首相直轄　総選挙公約へ自民行革案",NA,NA,2131
97014,"関税撤廃の可否　品目ごとに検討　自民・西川氏",NA,NA,4664
57813,"口利き料で加藤事務所・元代表の給与　元幹事長側払わず、受け皿会社が肩代わり ",NA,NA,3238
7197,"参院の新分野確定　自民は１０９で結党以来最低　社党系は７０議席超す ",NA,NA,477
53733,"自民主流派党執行部、３月首相退陣を探る　森氏は続投に意欲",NA,NA,3038
43119,"政策減税を２５００億拡充　「住宅」１５００億、「投資」１０００億／自民税調 ",NA,NA,2396
21647,"金丸氏臨床尋問で合意　竹下氏喚問は２６日にも　幹事長・書記長会談",NA,NA,1406
33172,"自民党総裁選　河野総裁の出馬断念で「議論できず不満」／橋本氏 ",NA,NA,2026
33662,"田沢前法相の後任に宮沢弘自民党参院議員を任命 ",NA,NA,2052
21637,"自民が金丸氏尋問受け入れ　社公民に意向伝達　佐川事件での空転国会打開図る ",NA,NA,1404
76985,"自民新総裁　福田ビジョンを明確に　政治部次長・柴田岳 ",NA,NA,3981
95875,"総務会長に大島氏　厚労・田村氏　復興・根本氏　安倍総裁方針",NA,NA,4569
91393,"金利急騰、日銀が抑制策　黒田総裁「完全制御はできず」",NA,NA,4624
72813,"日銀の福井総裁、運用益１４７３万円　元本倍増、報酬の３割返納　投資問題",NA,NA,3777
12074,"日朝間に民間ベースでの貿易経済事務所設置　政府支援／政府・自民方針 ",NA,NA,733
47392,"自民総裁選繰り上げへ　８月下旬にも告示　臨時国会は９月",NA,NA,2711
57880,"「議員辞職」巡り攻防へ　鈴木氏が自民離党届",NA,NA,3247
7260,"自民総裁選、竹下派は擁立見送り　首脳一致、橋本氏も推薦せず",NA,NA,497
28101,"羽田内閣資産公開　鳩山労相８４億、平均では８億円　「自民時代」並みの水準 ",NA,NA,1880
27562,"首相指名　自民の一本化は不調　渡辺氏が出馬表明　河野総裁は自重求める ",NA,NA,1860
52438,"対北朝鮮に自民党がコメ追加支援了承　国費１０００億円投入へ",NA,NA,2973
33123,"自民総裁選の国会議員票　橋本氏、過半数固める　加藤紘氏も支持 ",NA,NA,2020
49537,"診療報酬、０．２％程度引き上げ　政府・自民と日医など調整大詰め ",NA,NA,2869
95711,"解散へ民自公前進　赤字国債容認　大筋合意　国民会議　人選案も",NA,NA,4530
26564,"政治改革　与党あす採決の構え　自民の修正案を拒否／参院特別委 ",NA,NA,1812
6094,"自民の中堅・若手がリ疑惑議員に釈明要求　２グループ７３人",NA,NA,333
72112,"民主党代表選　小沢氏、出馬に意欲　渡部氏「選挙２位の人、幹事長に」 ",NA,NA,3746
25736,"定数配分など５項目を対象に自民党と折衝　連立与党が方針決定",NA,NA,1767
90269,"カネミ油症、救済法成立へ　支援金、年２４万円　民自公合意",NA,NA,4465
19967,"平成４年生産米価　据え置き、きょう２５日決着／政府・自民党 ",NA,NA,1249
13087,"固定資産税の増収６０００―６５００億円　全額、住民税減税に　自民税調が方針 ",NA,NA,826
34246,"自民推薦の尾崎吉弘氏当選　和歌山市長選",NA,NA,2063
8560,"自民が小選挙区制論　選挙制度審政党から聴取、社党は出席拒否",NA,NA,609
22776,"減税実施へ与野党機関　自民方針は暫定予算回避の方向",NA,NA,1477
26962,"政党助成の上限枠を自民提案　与党、大筋受け入れ　政治改革法修正",NA,NA,1827
21808,"９３年度住民税の負担減図る　非課税限度６―８万上げ／自民税調 ",NA,NA,1421
95517,"自民総裁に安倍氏　決選投票、石破氏を逆転＝号外も発行",NA,NA,4512
12941,"幹事長ら３役焦点　内閣改造と自民役員人事、２０日前後濃厚に",NA,NA,808
15619,"自民、政治改革３法案を党議決定　反対論押し切る　焦点、臨時国会に",NA,NA,971
3461,"不公平是正・リクルート、特別委設け審議　税制国会で自民提案",NA,NA,197
29486,"竹下氏が自民“復帰”　衆院の院内会派に再び所属 ",NA,NA,1924
47170,"組織犯罪法案、自自公が修正で合意　通信傍受、対象絞る",NA,NA,2694
16647,"ＰＫＯ法案は衆院で継続審議に　自民が方針　次期国会成立目指す ",NA,NA,1003
48762,"自自公協議が決着　「比例」２０削減を先行処理　連立内閣あす発足 ",NA,NA,2821
4143,"コスモス株譲渡、自民代議士さらに２人　浜田卓・伊吹両氏　数万株を５９年末に ",NA,NA,220
46912,"自衛隊出動の国会承認、「原則事前」自公合意へ　ガイドライン法案",NA,NA,2674
54960,"自公保推薦の鶴岡氏当選　千葉市長選",NA,NA,3159
56316,"与党の３幹事長がパキスタン訪問へ ",NA,NA,3204
90826,"自民政調会長に高市氏　経産相・茂木氏、国家公安・古屋氏",NA,NA,4572
66317,"参院選「比例は民主」２２％　自民２０％　朝日新聞社連続世論調査",NA,NA,3510
83381,"（考・政党）自民、５４歳の迷い",NA,NA,4254
18056,"熊谷　太三郎氏（自民参院議員、元科技庁長官、熊谷組相談役）死去　元福井市長 ",NA,NA,1145
23286,"所得減税、今夏は見送りへ　自民「拒否」固める　年末実施には含み ",NA,NA,1555
66897,"外交は自民、内政は民主　首相の好感度、低下　朝日・東大共同調査",NA,NA,3533
26381,"景気策の先送り続けば倒閣運動辞さず／河野・自民総裁 ",NA,NA,1799
53490,"額賀福志郎・村上正邦氏の証人喚問容認　ＫＳＤで自民、公明幹事長",NA,NA,3029
37830,"公取委・国税庁の折衷型　金融検査監督機関で加藤自民幹事長が意向 ",NA,NA,2182
39805,"最終報告は来月初めに　財政構造改革で加藤紘一自民党幹事長",NA,NA,2230
90959,"悪質いじめ、首長へ報告　教師の体罰も対象　防止法自民案",NA,NA,4593
45712,"刑事罰、１４歳以上に　自民小委正式提言　少年法改正",NA,NA,2620
81334,"地方自民、渋々「麻生支持」　後任なし・今さら　「総選挙、現政権で」３０都道府県",NA,NA,4162
54330,"秋田知事に寺田典城氏再選　自民党、千葉に続き黒星",NA,NA,3107
94890,"消費増税２４日審議入り　政府・民主方針　自民は拒否継続",NA,NA,4434
50028,"二階堂進氏（元自民党副総裁）死去　田中元首相の側近 ",NA,NA,2887
13125,"海部首相、「年末改造」固める　「補正」成立後に小沢幹事長と会談へ",NA,NA,828
6188,"多賀谷・衆院副議長が辞職願　「予算の自民党単独採決で責任を痛感」 ",NA,NA,363
90283,"消費増税、成否の岐路　自民、きょうにも不信任案",NA,NA,4470
37804,"旧国鉄債務２８兆円返済　利払い累増防止最優先／政府・自民方針 ",NA,NA,2179
20870,"佐川急便事件　金丸元副総裁に出頭要請　５億円献金受領は本人と認定／東京地検 ",NA,NA,1309
