"id_all","Headline","codeN","missword","sampleloc"
52395,"個人情報、企業に管理義務　保護法大綱案まとまる　改善命令拒めば処罰 ",NA,NA,9965
62248,"木村・青森知事が辞職願を提出　女性問題、不信任可決公算で ",NA,NA,11304
37429,"小選挙区の「保険」　重複多い自民、民主、社民　総選挙・比例名簿",NA,NA,7476
23079,"議員秘書らも捜査　私的使用裏付け　金丸脱税事件で東京地検 ",NA,NA,4176
3491,"リクルートコスモス疑惑　楢崎代議士が江副氏らを贈賄で告発　週明けにも聴取 ",NA,NA,445
31402,"与党訪朝団、来週中に結論で３党一致　統一選前の派遣は困難に ",NA,NA,6283
83420,"（政権交代　４０日目）参院補選、民主２勝　神奈川・静岡、衆院選の勢い維持",NA,NA,14188
41775,"ホワイトカラーに裁量労働制を拡大　「時間外」に法規制／中央労基審最終報告 ",NA,NA,8121
69860,"カネボウ粉飾、元社長ら近く本格捜査　証取法違反の容疑　東京地検",NA,NA,12229
53737,"機密費支出、９億６５００万円は精算額　政府側、過不足は答弁せず／衆院予算委 ",NA,NA,10178
37687,"新選挙制「継続望む」９％　「改善」４４％／読売新聞社全国世論調査 ",NA,NA,7544
67139,"衆院通用門前で元右翼の車炎上　北朝鮮拉致対応に腹立て ",NA,NA,11956
14556,"与党労働党が過半数制す　アルバニアの人民議会選挙",NA,NA,2557
22803,"今国会で暴対法改正案提出へ　補てんの強要禁止など",NA,NA,4108
36284,"住専処理法きょう成立　追加策、あす発表　「新基金」なお詰め　政府",NA,NA,7238
98004,"国会会期延長せず",NA,NA,15845
59785,"偽証罪などで追起訴　鈴木宗男議員の捜査終結",NA,NA,11001
8846,"衆院選で自民過半数割れなら保革連合めざす／永末民社委員長 ",NA,NA,1621
54570,"小泉首相、靖国参拝「個人で」　財政改革「増税せず」明言／衆院代表質問 ",NA,NA,10323
41896,"法人・土地・証券で減税　自民党の来年度税制改正大綱決定",NA,NA,8145
24799,"［細川連立政権試練の旅立ち］（５）各国の期待と懸念（連載） ",NA,NA,4780
34572,"「自由競争」か「弱者配慮」で二分　朝日新聞社全衆院議員アンケート",NA,NA,6887
34960,"［政まつりごと］第五部検証・連立政治（１）民意と総理（連載） ",NA,NA,6976
24783,"特別国会開会式　会期の１４日間延長を議決 ",NA,NA,4775
79019,"地方自民「福田離れ」　２２府県「新党首で選挙」",NA,NA,13542
91550,"再稼働申請「信頼壊す」　東電表明、新潟知事が批判　柏崎刈羽原発６・７号機",NA,NA,15546
97383,"松木前議員に偽装献金　親族企業　名義借り１億円　国税調査",NA,NA,15732
74412,"内閣支持急落５５．９％　「復党に反対」６７％／読売新聞社世論調査 ",NA,NA,12854
13948,"ごみ対策、企業にも責務　厚生省が改正案要綱　廃棄物処理法",NA,NA,2494
48145,"自民、協議機関を提案　自由は反対、党首会談も　衆院定数削減",NA,NA,9230
60400,"今国会処理見送り　人権擁護法案",NA,NA,11055
9228,"政権協議を継続　４野党党首会談",NA,NA,1691
31957,"社会党離党を山花貞夫氏表明　「新党運動の不調で責任」 ",NA,NA,6403
31635,"都市博見直す　２信組救済も否定　東京都知事選当選の青島幸男氏明言",NA,NA,6336
53559,"ＪＲ不採用問題　国労が４党の合意受け入れ、１４年ぶり解決へ ",NA,NA,10128
34528,"新進党幹事長に就任した米沢氏　村山内閣との対決姿勢表明 ",NA,NA,6881
51319,"景気と財政　村を覆う不安感（針路をえらぶ　２０００年総選挙）",NA,NA,9775
91136,"サマワ、街角は選挙一色　イラク戦争、２０日で開戦１０年",NA,NA,15440
30922,"新進党系で初の知事　青森県知事選、接戦で木村氏　自民系現職を破る",NA,NA,6175
6799,"一票の主張　憤り、動き出す民意（変革のうねり　参院選を前に：上）",NA,NA,1133
74058,"木村・和歌山知事が辞職　談合で混乱、引責　会見で表明",NA,NA,12771
30209,"１月新党、地方の大勢は慎重論　社党都道府県書記長アンケート",NA,NA,6025
90559,"一票の格差、参院も違憲状態　１０年選挙５倍　県別区割り「見直しを」　最高裁判決",NA,NA,15230
23615,"政治資金の地方分は過去最高１７３４億円　参院選控え「党費」急増／自治省 ",NA,NA,4261
16107,"証券不祥事、橋本蔵相が防止策後の辞任を示唆／衆院代表質問 ",NA,NA,2818
35212,"［政まつりごと］第五部検証・連立政治（１８）文化の違い（連載） ",NA,NA,7041
10981,"ソ連、党の前衛性否定　民主集中制の破棄も／綱領的宣言案 ",NA,NA,2078
25999,"政党助成、額に上限設けず　参院審議で社党の山花氏が答弁",NA,NA,5040
31195,"外国人の地方選挙権容認　最高裁が初の憲法判断　永住者などに限定 ",NA,NA,6238
25123,"戸別訪問を全面解禁　衆院選以外にも拡大／政府方針 ",NA,NA,4851
96092,"「日本版ＮＳＣ」創設法案　外交安保の司令塔　今国会提出へ",NA,NA,15407
15815,"ロンドン・サミット開幕　ソ連改革進展促す　政治宣言を討議　国際秩序を強化 ",NA,NA,2760
18719,"安恒議員に辞職勧告へ　佐川急便事件で田辺社党委員長、週明けにも",NA,NA,3317
4756,"老齢福祉年金、野党要求の月１０００円を超す増額　自民方針　",NA,NA,673
32882,"シーリング大蔵省案　与党、情報通信など特別加算の１４００億円新設了承 ",NA,NA,6573
47997,"自由・小沢氏、連立離脱も辞さず　自自合意の優先求める　自公と個別会談 ",NA,NA,9205
19469,"ＮＧＩ　動き出した自治体（検証・援助大国ニッポン：２）",NA,NA,3427
50611,"野田グループが「保守党」旗揚げ　党首に扇氏、自由の過半",NA,NA,9642
5290,"長野三区だけ１減　６人区（北海道一区）は２分　衆院定数是正案、自民固める ",NA,NA,750
47626,"文部省研究校に公募型　中央主導から転換　教師発案、私立もＯＫ／自民党試案 ",NA,NA,9144
58239,"井上参院議長、辞任不可避に　政策秘書の裏金取得疑惑",NA,NA,10803
59346,"鈴木議員きょう再逮捕　工事受注口利き、６００万円受託収賄容疑／東京地検 ",NA,NA,10959
92002,"衆院選一票の格差、来月にも最高裁判決へ　初の「１年以内」結論か",NA,NA,15642
67711,"ウクライナ国会、内閣不信任決議案を可決 ",NA,NA,12009
85927,"鳩山氏「小沢氏を要職に」　部分連合より連立強調　本紙と会見 ",NA,NA,14557
21778,"９１年地方政治資金は１７２７億円　参院選で前年比１２．３％増／読売新聞集計 ",NA,NA,3918
27142,"細川首相、与党結集へ指針　参院選などを軸に日本新党幹部と懇談 ",NA,NA,5322
68523,"証取法改正へ　情報開示の対象、非上場の親会社も／金融庁 ",NA,NA,12095
30834,"岡山市長に安宅敬祐氏が再選",NA,NA,6161
54869,"道路財源見直しに２４知事が反対、１人賛成　朝日新聞社アンケート",NA,NA,10374
37423,"６党首討論会　民主、野党色強める　消費税で対立鮮明に ",NA,NA,7473
38394,"重油の漂着、１８市町村に　日本海のロシア・タンカー事故",NA,NA,7639
97392,"老朽インフラ総点検　道路や水道　政府　全自治体に計画要請",NA,NA,15736
46701,"保育所などに２０００億円　今国会に補正予算案提出",NA,NA,8979
84137,"［民主イズム］石川議員逮捕（中）首相縛る「小沢依存」（連載） ",NA,NA,14265
57235,"米国型企業統治を導入　商法改正へ法制審部会、要綱案を決定",NA,NA,10650
90388,"維新新党、党首は橋下氏",NA,NA,15200
52087,"与党要求受け入れ、来年１月に延期　酒屋出店規制緩和で政府方針",NA,NA,9900
16307,"クーデター責任追及　モスクワ市の党委員会と地区委の建物を封鎖／ポポフ市長 ",NA,NA,2838
7194,"自民の後継総裁選び、議員総会で投票が有力　宇野首相退陣表明",NA,NA,1244
90751,"一票の格差、２．４３倍に拡大　衆院選",NA,NA,15335
99145,"５政令市長選　１７人立候補",NA,NA,16154
24207,"政治改革「連立」へ党首会談　非自民勢力が衆院選公示前に ",NA,NA,4493
25268,"社会党大会、並立制導入を承認　村山新委員長が党再生へ決意表明 ",NA,NA,4879
19853,"ＰＫＯ協力法が成立　自公民３党で可決　社党、社民連は欠席／衆院本会議 ",NA,NA,3522
42545,"政治家・官僚への新規発行株の売却、日興証券が禁止　政治献金も",NA,NA,8272
33892,"宗教法人法改正案　反対２２法人、賛成は１２／読売新聞社アンケート ",NA,NA,6731
21775,"佐川急便再建に関与せず　集中審議で渡辺郵政相が答弁／衆院予算委 ",NA,NA,3916
32615,"参院選届け出締め切り　競争率は４．５倍　選挙区３８６人、比例２３党 ",NA,NA,6521
24153,"サミットと同時の選挙好ましくない　河野官房長官語る",NA,NA,4456
39839,"酒巻元社長「総会屋と知り面談」　参院予算委で参考人招致　野村事件",NA,NA,7865
61748,"統一地方選　１１知事選に４６候補　鳥取は無投票再選 ",NA,NA,11230
88263,"菅首相、週明けにも党首会談　自公と会期延長協議",NA,NA,14800
89966,"０増５減＋比例１０減案　藤村官房長官、自民に示す　衆院選挙改革",NA,NA,15076
63647,"テロ特措法改正・公選法改正案　衆院通過、１０日成立へ ",NA,NA,11512
70110,"自民２９％、民主１３％　どこに投票？衆院比例区　解散後の朝日新聞社連続世論調査",NA,NA,12307
87285,"家畜感染、通報遅れに罰則　口蹄疫・鳥インフル　法改正案",NA,NA,14718
36265,"「住専」新基金など追加負担　大枠、１８日に決定／政府・与党 ",NA,NA,7233
46413,"自民党旧中曽根派と中山・亀井グループ　来月２０日前後に合流 ",NA,NA,8931
37939,"サッカーＷ杯の拠出金を全額返還へ　選考漏れ５自治体に　開催準備委",NA,NA,7581
21753,"佐川急便事件　社会党が竹下元首相に「辞職勧告」へ　野党共同で決議案用意 ",NA,NA,3906
36447,"政治不信派、７割　「総選挙早く」４６％に増加　静岡定点調査",NA,NA,7267
16371,"きょう証人喚問　補てん・株価操縦に焦点　衆院証券金融特別委",NA,NA,2845
48473,"自民党総裁選　小渕派が政権構想　自自公連立後、教育改革・景気対策を重視 ",NA,NA,9276
26218,"第二次補正予算が成立　参院本会議",NA,NA,5089
4627,"株購入代金支払いの「物証」用意なし　参院税特委で宮沢蔵相",NA,NA,654
51265,"財政の未来（何を問うか　２０００年総選挙：下）",NA,NA,9764
4381,"仙台市長選が告示　２氏の争いに ",NA,NA,593
60576,"鳩山代表、辞任示唆　「野党結集に全力」小沢氏と一致、民主分裂・再編も ",NA,NA,11081
70187,"小泉首相、「郵政」成立後に閣僚人事　参院造反組、賛成なら処分見送りも ",NA,NA,12338
73799,"安倍首相、個人でも踏襲　村山首相・河野長官談話　衆院答弁",NA,NA,12743
30809,"阪神大震災の集中審議　情報網整備を強調　村山首相が答弁／衆院予算委 ",NA,NA,6158
27197,"金丸元副総裁と井上孝参院議員、今週中にも聴取　東京地検",NA,NA,5333
72157,"稲嶺・沖縄知事、苦渋　普天間移設問題の再修正案に反対　県の立場堅持・協議は継続",NA,NA,12594
44943,"金融早期健全化法案、今国会の成立確定　情報開示を義務付け ",NA,NA,8687
80053,"自民党役員人事　官房長官に大島氏有力　麻生氏構想 ",NA,NA,13639
83084,"鳩山内閣、発足　脱官僚依存、首相が強調　民社国連立",NA,NA,14145
66853,"日歯ヤミ献金　旧橋本派・会計責任者を逮捕　１億円記載せず、規正法違反容疑 ",NA,NA,11941
43036,"経済政策　橋本首相、責任認める　退陣要求は拒否／衆院予算委集中審議 ",NA,NA,8352
13419,"都知事選　２党推薦だけでも出馬　鈴木知事が自民・小沢幹事長に表明 ",NA,NA,2436
23102,"ＰＫＯ協力法５原則満たす　「参加は可能」示唆／モザンビーク調査団報告書 ",NA,NA,4177
71377,"在外投票の選挙区導入、来年にも　通常国会に法改正案　渡航前住所で",NA,NA,12502
71330,"給与かさ上げ５県４市　０４年度で計３３億円、慣行化　９３自治体、朝日新聞社調査",NA,NA,12495
32335,"参院選立候補大幅減に　選挙区選で自社複数擁立はゼロ／読売新聞社調べ ",NA,NA,6464
76985,"自民新総裁　福田ビジョンを明確に　政治部次長・柴田岳 ",NA,NA,13277
47952,"宮崎県知事選　松形祐尭氏が６選 ",NA,NA,9193
20475,"宮沢首相、所得減税に難色　国会１０月にずれ込みも　野党党首と会談",NA,NA,3638
35913,"国家公務員を一括採用　問われる政治の力量（解説） ",NA,NA,7173
45716,"少年法の刑罰対象「１４歳以上」　自民小委が法相に報告書提出へ ",NA,NA,8820
66367,"米民主党副大統領候補にエドワーズ氏 ",NA,NA,11889
53381,"運転代行業に２種免許義務化　警察庁など、法規制へ試案公表",NA,NA,10102
88468,"「今国会で退陣を」７割　菅内閣支持率、最低１５％　朝日新聞社世論調査",NA,NA,14830
44832,"破たん前処理、健全行へも資本注入可能に　自民案、野党に提示",NA,NA,8665
50119,"「予算阻止なら解散」　小渕首相、野党をけん制",NA,NA,9556
89534,"「知事が教育目標」明記　大阪府条例、３月に成立へ",NA,NA,14986
90695,"鳩山元首相、総選挙への出馬断念　首相に「引退」伝える意向",NA,NA,15291
