"id_all","id_inpaper","id_original","year","month","date","ymonth","Headline","paper","wcount","codePN","Asahi","Yomiuri","jijistartdate","jijiymonth","cabinet","ldp","politics"
3,3,5,1987,11,7,198711,"政策遂行は党主導か　竹下内閣発足＜解説＞","A",1033,0,1,NA,7,198711,1,0,1
10,3,3,1987,11,7,198711,"大胆な発想と実行の政治を　初閣議で竹下首相説示 ","Y",403,0,NA,1,7,198711,1,0,1
17,7,8,1987,11,8,198711,"「合意と決断の政治」　竹下首相、初会見で強調　内需拡大へ大型予算 ","Y",1470,0,NA,1,7,198711,1,0,1
30,14,17,1987,11,10,198711,"「地下空間」有効利用を　まず法体系など整備　研究会を１１月下旬に発足 ","Y",1139,0,NA,1,7,198711,0,0,1
37,18,24,1987,11,11,198711,"「大型間接税に解散も辞さぬ」　社公党首一致","A",426,0,1,NA,7,198711,0,0,1
73,35,47,1987,11,13,198711,"「政治に竹下色期待」が７０％　朝日新聞社世論調査","A",848,1,1,NA,7,198711,0,0,1
87,41,55,1987,11,14,198711,"野党の予感（竹下政権・試練の船出：５）","A",2134,0,1,NA,7,198711,1,0,1
96,44,60,1987,11,15,198711,"議員の訪韓、自由化の方向　社会党の基本政策論議","A",578,0,1,NA,7,198711,0,0,1
98,46,62,1987,11,15,198711,"政治に欠陥ないか　根本再考の時期　編集委員・石川真澄（座標）　","A",2081,0,1,NA,7,198711,0,0,1
99,47,63,1987,11,15,198711,"衆院、１票の格差３．０１倍　再び「違憲状態」に　自治省発表","A",1699,0,1,NA,7,198711,0,0,1
100,53,61,1987,11,15,198711,"１票の格差　衆院３．０１倍に拡大　参院は最大の６．０３倍／９月の有権者数 ","Y",1318,0,NA,1,7,198711,0,0,1
101,54,62,1987,11,15,198711,"衆院選の「１票の格差」拡大　抜本是正を検討／安倍幹事長 ","Y",128,0,NA,1,7,198711,0,1,1
107,60,68,1987,11,15,198711,"森下　泰氏（自民党参院議員、森下仁丹社長）死去 ","Y",566,0,NA,1,7,198711,0,1,1
112,61,70,1987,11,16,198711,"プライバシー保護法案、開示請求権認める　次期通常国会に提出／総務庁 ","Y",1143,0,NA,1,7,198711,0,0,1
122,56,76,1987,11,17,198711,"“地上げ長者”の最上恒産、法人税６５億円を滞納　","A",1526,0,1,NA,7,198711,0,0,1
128,72,82,1987,11,17,198711,"臨時国会、２７日召集を確認／政府・自民党 ","Y",137,0,NA,1,7,198711,1,1,1
131,58,80,1987,11,18,198711,"臨時国会、２７日に召集　会期は１６日間　政府与党協議で確認","A",834,0,1,NA,7,198711,1,0,1
140,62,86,1987,11,19,198711,"自治体優先せぬ　杉浦清算事業団理事長、旧国鉄用地売却で強調","A",569,0,1,NA,7,198711,0,0,1
150,67,93,1987,11,20,198711,"土地取引への強権発動に政府は慎重　衆院土地特別委","A",803,0,1,NA,7,198711,1,0,1
151,68,94,1987,11,20,198711,"米財政均衡法、期限延長へ","A",202,0,1,NA,7,198711,0,0,1
153,70,96,1987,11,20,198711,"新型間接税含む法の成立、来秋メドで一致　首相・蔵相会談","A",856,0,1,NA,7,198711,1,0,1
164,74,102,1987,11,21,198711,"高層化で住宅供給　参院土地特別委で国土庁長官が強調","A",663,0,1,NA,7,198711,1,0,1
174,96,110,1987,11,21,198711,"１省庁１機関の地方移転、本格取り組みを表明　参院委で奥野長官 ","Y",552,0,NA,1,7,198711,1,0,1
176,80,111,1987,11,22,198711,"都道府県選管届け出の６１年政治資金収入","A",1718,0,1,NA,7,198711,0,0,1
179,83,115,1987,11,22,198711,"６１年の政治資金、地方分も最高の１４１１億円　伸び３２％","A",1405,0,1,NA,7,198711,0,0,1
180,97,112,1987,11,22,198711,"政治資金、地方も最高　３２％増、１４１１億円／６１年分読売新聞社集計 ","Y",1263,0,NA,1,7,198711,0,0,1
184,101,116,1987,11,22,198711,"浜西　鉄雄氏（社会党代議士、党青少年局長）死去 ","Y",217,0,NA,1,7,198711,0,0,1
210,117,136,1987,11,25,198711,"新型間接税で新統一見解へ／政府・自民党方針 ","Y",636,0,NA,1,7,198711,1,1,1
215,98,138,1987,11,26,198711,"国会の勢力分野（１１月２５日現在）","A",440,0,1,NA,7,198711,0,0,1
217,100,140,1987,11,26,198711,"第１１１回臨時国会、２７日召集","A",1328,0,1,NA,7,198711,0,0,1
234,127,148,1987,11,27,198711,"臨時国会きょう２７日召集 ","Y",450,0,NA,1,7,198711,0,0,1
